,comment,rating
191,nhiều lỗi vặt dùng lâu khá khó chịu pin khá máy ảnh cùi giá khá hợp lí thôi tổng hợp lỗi chức năng hữu ích cần thêm vsmart joy duyệt momo lazada và số ứng dụng lag thiếu báo thức khi tắt máy thiếu hẹn giờ bật tắt máy sóng wifi kém loa bật lớn nghe chói thiếu tùy biến phím trợ năng không thêm được nút nguồn ảo máy tính thiếu nhiều tiện ích quy đổi không có chế độ tay thứ nhỏ màn hình liên lạc zalo or facebOk facebOk com nếu cần biết thêm,0
193,thật sự thất vọng với máy mình không biết là cơ bản máy như thế này hay do máy này bị lỗi nữa chỉ dùng sau tuần mà máy đã chạy quá chậm thậm chí đến những tác vụ cơ bản nhất như điện thoại nhắn tin cũng rất lâu và khó khăn hiển thị pin giờ bị đè bị lỗi thật sự hụt hẫng với chiếc máy gần nhưng đến đth nhắn tin cũng không được tốt,-1
201,mua ủng hộ hàng việt mình mua máy của vsmart máy mới mua tháng bị lag cứ lâu lâu thoát ra màn hình chính thậm chí mở nguồn không lên thật sự không phải bị hư mà là lâu lâu hệ thống cứ lỗi mình cứ sợ đến lúc nào đó công nghệ vsmart sụp là phải mua máy mới có chê có khen vsmart có bộ xử lý bộ nhớ máy ảnh và lớn giá rẻ hơn rất nhiều so với các hãng khác cùng thông số hãy cho tôi biết thông tin bảo hành bảo hành tại đâu có thể bảo hành bằng số điện thoại hay bằng gì,0
202,máy đơ giật chậm nghe gọi không thì ổn nhưng vào facebOk life cũng chậm nữa máy ảnh tưởng mắt là ngầu nhưng không de bằng cái máy cổ thời xưa thật sự muốn đập máy vì không dùng được máy các hãng khác cùng phân khúc đáng mua hơn nhiều mong mọi người thật sự cân nhắc khi mua máy không làm gì được ngoài nghe gọi mong tiki cho mình trả lại cái cục gạch mang tiếng sờ mát phôn này,-1
205,tôi đặt hàng trên tiki vào ngày và tiki giao hàng rất đúng hẹn vào sáng ngày sau sử dụng điện thoại vsmart joy tôi nhận thấy một vấn đề luôn xảy ra trong quá trình sử dụng là lỗi khay sim và thẻ nhớ mặc dù tôi đã gắn đủ sim và thẻ nhớ vào nhưng luôn hiện thông báo là không có thẻ nhớ và sim của bạn đã được đẩy ra ngoài liên tục trong lúc dùng nhiều người không gọi điện thoại cho tôi được vì lỗi không nhận sim mong nhận được giải đáp từ phía tiki,-1
206,đóng gói cẩn thận hàng chuẩn theo yêu cầu do sóng hơn yếu nhưng vừa với giá tiền nói chung là cũng xài được tốt nhưng với điều là nhân viên giao hàng đối xử không tốt với khách hàng rõ ràng là mình đặt mua trên tiki lần đều nhận hết chưa được từ chối tại sao nhân viên lại nói là mày có chắc chắn nhận hàng không mày từ chối hàng của tao bao nhiêu lần rồi đấy mình mong tiki xem xét lại nhân viên giao hàng,0
215,dịch vụ giao hàng cực tệ hoàn toàn thất vọng tiki dự kiến giao ngày đợi đến tận ngày mới giao thời gian ngày kéo dài này không thèm có một thông tin gì báo cho khách hàng biết tôi mua mặt hàng này làm quà cho con trai vào dịp cuối tuần con đạt điểm tốt để khích lệ vậy mà trễ mất ngày không hề có một lý do cụ thể hay thông báo cho khách hàng biết nó làm con tôi rất buồn vì phải chờ đợi làm tôi thất vọng khi không giữ được lời hứa với con tôi tôi nhận đơn hàng này vì đã đặt mua thì sẽ nhận giá trị đơn hàng cũng không cao nên tôi cũng không muốn gây rắc rối cho nhân viên giao hàng vì họ cũng chỉ làm công ăn lương nhưng tôi sẽ cân nhắc không tiếp tục mua hàng từ tiki nữa vì vấn đề này xảy ra với tôi ở đơn hàng liên tiếp gần đây thiết nghĩ với môi trường cạnh tranh với các ứng dụng như lazada hay shopE như hiện tại thì tiki sẽ không thể nào trụ vững được với sự yếu kém về năng lực giao hàng cũng như khả năng phục vụ khách hàng của mình sự thật mất lòng mong thông cảm tôi hoàn toàn không hài lòng với đơn hàng này,-1
216,sản phẩm phù hợp với giá thành chỉ nên mua sản phẩm cho mục đích sử dụng để nghe gọi hoặc làm máy phụ kiểm tra qua phần mềm thì mình có vài đánh giá nhỏ máy ảnh quá thừa về số lượng trong khi đó chất lượng của máy ảnh quá kém wifi kết nối không ổn định màn hình tạm ổn trong tầm giá hiệu năng ổn đội ngũ phát triển phầm mềm quá tệ không đáng đánh giá dịch vụ của tiki khá tốt,1
218,sản phẩm giá rẻ hiệu năng cao pin trâu có sạc nhanh với tai nghe sự dụng với các tác vụ cơ bản đáp ứng tốt mình mua cho thằng em học online ngon lành điều mình ấn tượng là có hẳn một ứng dụng về bảo hành hiển thị đầy đủ số ngày bảo hành còn lại cũng như địa điểm bảo hành hệ sinh thái và chế độ chăm sóc khách hàng của vin là rất ấn tượng,1
219,có một vài điểm các bạn cần cân nhắc khi mua điện thoại này đó là màn hình khá là tối và hơi ám vàng máy ảnh trước màu rất nhợt nhạt gọi voice nhìn nhận sắc khá là chán ngoài ra loa điện thoại chỉ ở mức trung bình ở mức giá tầm nếu được chọn lại mình sẽ chọn mua xiaomi redmi,0
221,điện thoại dùng rất thích mình khá bất ngờ với giá này mà lại nhận đc cái điện thoại dùng thích như vậy màu trắng ở ngoài nhìn sang mà đẹp chứ không giống như trên hình chụp trên này rất đáng mua cho bố mẹ dùng miếng dán cường lực mình mua kèm cũng chất lượng nhưng chẳng hiểu sao tiki tạo deal mua với kính cường lực của vsmart active cùng nhau wtf vì tin tiki nên mình mua vội không nhìn kỹ nhận hàng cứ thế lôi ra dán mới biết là không phải kính cường lực của đồng ý là lỗi sài từ mình không nhìn kỹ tên miếng dán cường lực nhưng không phải miếng dán của thì tiki tạo deal chung cho cái làm gì hả mình chỉ muốn góp ý để tiki sửa những lỗi kiểu này nhắm tạo ra trải nghiệm mua hàng tốt hơn nữa,0
222,tiki giao hàng nhanh thật sản phẩm đẹp nhưng có vấn đề về màn hình một chút mình có đi dán cường lực thì ông chủ dán vài cái mà cái nào cũng bị hơi tràn vào trong góc ở miếng dán màn hình ông chủ bảo màn hơi bị lệch nên xảy ra trường hợp vậy rõ chán dùng máy nên không chụp hình đăng được,1
224,mình mua sách trên tiki giao rất nhanh có đồ công nghệ thì chậm mất một tuần điểm trừ thứ nhất và trong hộp điện thoại của mình không có ốp lưng không biết là do phía sản xuất hay do cửa hàng thì mình không biết còn về điện thoại tốt hơn mình nghĩ điểm,1
230,tôi muốn đổi lại điện thoại khác điện thoại này sài đăng ký mấy hôm là nó bắt đầu rất giật lác vô các ứng dụng đơn giản rất chập rất lâu có khi đơ màn hình vô số ứng dụng khác thì rất chậm hiện tượng đơ máy xảy ra thường xuyên,-1
231,tốt trong tầm giá xài cho các như cầu cơ bản rất thoải mái lướt facebOk xem youtube đều mượt không giật chậm pin bền nếu để cấu hình vừa phải đủ dùng cả ngày tổng quan máy đẹp dễ sử dụng vừa tay,1
235,sài gần tháng không bình thường s hôm nay zo ứng dụng tải từ ch play về lc zo đc lc không nó báo ứng dụng không phản hồi zo zalo hay facebOk đều chỉ hiện lên một màu đợi oai vẫn không zo đc giờ bị báo lỗi nhiều zo trò chơi hay coi phim đều bị đơ giật chậm liền tục v điện thoại hao pin nhiều,0
237,okay nhận hàng chuẩn đẹp như trên tiki giao hàng rất dễ thương nói chn nhỏ nhẹ lịch sự nói chung là tất cả điều okay,1
238,cái điện thoại em mua đã nhận hàng rồi em không biết nhập như thế nào để sau này được bảo hành thường thì em mua ở ngoài thế giới di động có nhập sdt để bảo hành bữa nhận điện thoại phía sau cái điện thoại có sticker có mã vạch mà em không biết em lột ra bỏ rồi đó là gì vậy huhu,1
244,cửa hàng giao hàng rất nhanh đây là lần mua hộ điện thoại cho bố cái cho con em học online và cả lần đều ủng hộ hàng việt nam với số tiền này mua vinsmart là quá ngon và hợp lý rồi,1
251,chỉ duoc cai ma ben ngoai pokemon go toan bi do va vang ra ngoai wifi rot mang lien tuc neu tiki cho tra hang mat gia tri tien cũng chap nhan caL tong dai vien thi tra loi la can cu quy dinh thi không duoc doi tragi ca sau khi da mua that vong toan tap cho tiki,-1
252,tiki giao hàng nguyên tem đóng gói kỹ sản phẩm chính hãng chỉ có cái là chất lượng vỏ máy hoàn thiện kém ọp ẹp,1
257,tiki giao hàng đóng gói kỹ điện thoại đẹp có ốp lưng kèm theo phụ kiện đầy đủ nhưng sóng wifi bắt rất kém thường chập chờn và hay mất sóng không biết làm sao sửa lỗi lỗi này,0
265,vẫn hơi chậm so với cấu hình tầm giá pin quá trâu update lên phần mềm mới có nhiều thiệt thòi hơn so với bản cũ về trải nghiệm lẫn tính năng,1
267,em mua điện thoại từ cuối tháng chỉ sữ dụng như cầu đơn giản người lớn sữ dụng nhưng điện thoại liên tục giật lag phải tắt nguồn mới đỡ hơn vài bữa lại bị lại là bị gì ad,0
269,hoàn thiện kém quá hàng mới đập hộp mà hở keo bung nắp bên giờ lấy dây cố định lại không biết có dính không mới nhận chẳng lẽ phải đi bảo hành cái lỗi ngớ ngẩn này,-1
273,hoàn thiện khá nhưng hỡi ôi lỗi vặt nhiều chăm sóc của bos nói đợi phiên bản mới nhưng giờ vsmart ngưng rồi nên thôi đành dùng tiếp vậy,0
274,sau ngày trải nghiệm sản phẩm dùng rất tốt mượt nhanh máy ảnh chụp rất ổn phù hợp với giá tiền chỉ có khuyết điểm duy nhất là giao hàng hơi lâu nói chung sẽ ủng hộ hàng việt nam,1
275,điện thoại chính hãng đúng như quảng cáo dùng rất mượt rất chất lượng,1
279,hàng đúng chính hãng bước đầu thử thấy ổn trong tầm giá,1
281,với giá áp mã giảm giá thì thực sự máy quá tốt so với giá máy cho người dùng bình thường rất ok nhưng máy dùng để chơi trò chơi thì không được,1
283,tiki giao hàng thì rất ổn ạ điện thoại thì không thích lắm quá nhiều aPs cài đặt sẵn không xoá đc nặng máy và hay bị đơ máy nố chung để nghe gọi không thì ổn nhưng chỉ,0
285,khi nhận sản phẩm tôi dùng ứng dụng cpuz để kiểm tra thông tin phần cùng thì thấy pin chỉ so với trong quảng cáo tiki cho tôi hỏi đây có phải lỗi sản phẩm không ạ,1
287,tiki giao hàng nhanh hỏa tốc hàng đẹp lóng lánh nguyên tem quá xứng đồng tiền cảm ơn tiki,1
291,điện thoại quá tốt so với giá mình mua về cho cửa hàng dùng chung thấy pin ổn máy ảnh thì không đẹp lắm nhưng so với giá tiền quá tốt rồi săn sale được giá rẻ lại càng thích,1
292,đù má mõi ngày thì lại tăng thêm tiền một chút đéo giảm,0
293,cơ bản là ổn mới dùng được ngày thấy pin trâu mới cài những ứng dụng cơ bản nên chạy mượt không biết cài nhiều như thế nào nhưng thấy cơ bản ổn phù hợp với các bác trung niên,1
295,sản phẩm em mới lấy chiều qua mà nay đã cảm thấy giật giật đa nghiệm ứng dụng đã bị out mất mà lúc lấy mang về không còn seo luôn như ai bóc trước r chán quá ạ,-1
300,sản phẩm tốt trong tầm giá kim loại chắc chắn màn hình tương đối ổn tuy nhiên máy ảnh trước khá xấu nhưng mình mua cho người lớn nên không quan trọng điểm này,1
304,mình mua cho mẹ dùng cũng chưa đụng vô sản phẩm mẹ kêu là dùng tốt pin trâu tiki đưa cho giao hàng nhanh giao hàng hàng lâu quá lâu hơn ngày so với dự kiến,1
306,mình khuyên mọi người không nên mua sản phẩm này phiên bản ram mình đã dùng trong khoảng tháng và máy liên tục bị treo đơ dù đã cập nhật thường xuyên,0
307,sản phẩm tương đối tốt so với tầm giá trải nghiệm ok phù hợp với ai mới dùng smart phone và không dư dả về tài chính,0
311,mình mới đặt mua nhưng điện thoại dùng rất chậm còn hay bị đơ nữa mặc dù không cài ứng dụng gì nhiều về máy mình muốn bảo hành có thể bảo hành ở đâu được cậy,-1
315,hàng tốt hơn mong đợi gói gém tốt mẫu mã đẹp cảm hơn tiki nhiều nhA sẽ luôn ủng hộ tiki,1
317,cấu hình đúng mô tả máy nguyen tem mác sản phẩm đầy đủ sạc tai nghe và ốp trong tuy nhiên máy chạy rất chậm và đơ,0
318,tại sao hàng chính hãng cũng thấy dán nguyên seal nhưng sao lúc mở ra mình lại không thấy ốp lưng thật sự không thể hiểu nổi chính hãng kiểu gì,-1
322,tiki giao hàng nhanh gọn tốt máy dùng tạm trong tầm giá tuy nhiên không đáp ứng đc như cầu của mình nên muốn đổi trả hàng có được không,1
323,ngon bổ rẻ và hàng việt nam hơi buồn là chưa có hệ thống cũng cấp dịch vụ rộng khắp nên sửa chữa thay thế phải mang về hà nội,1
328,vạch bắt sóng wifi thì thấy yếu nhưng xem youtube vẫn nhanh như số máy trong phân khúc chip nhưng hiệu ứng chuyển hơi chậm cần tối ưu thêm,1
331,rất tốt trong tầm giá,1
333,điện thoại đẹp tuy nhiên bắt sóng wf cực kém gọi zalo thì tiếng ồ ồ không nghe rõ hình ảnh video sáng trắng không rõ nét còn lại mọi cái tương đối ổn,0
334,điện thoại mới hộp còn niêm phong mà khi mở ra cái ốp lưng tặng xước như bị dùng rồi,-1
337,sản phẩm mới mua kích hoạt không lên nguồn cần đổi trả gấp,-1
341,lần đâu mua hàng tiki nhưng tiki đã thể hiện vai trò của mình rất tốt tôi rất hài lòng sp không chê vào đâu được,1
342,pin trâu sạc nhanh là điểm trội nhất đôi lúc đang dùng hay bị khựng lại loa hơi bé chụp ảnh điều chỉnh hơi khó,1
343,sản phẩm đẹp nhưng xài bị giật lát mặc dù không sử dụng tải thêm bất cứ ứng dụng nào chỉ sử dụng tác vụ thông thường,-1
358,sản phẩm lỗi hay bị sập nguồn khi sử dụng không khởi động được lên phải để lúc lâu mới lên nguồn,-1
364,hàng nguyên seal lúc nhận nên cảm thấy an tâm trong hộp đầy đủ ốp lưng củ sạc cáp sạc đúng như quảng cáo,1
367,sản phẩm đóng gói tốt nhưng loa ngoài bị hỏng bên và hơi rè ở loa còn lại tạm hài lòng vì tiền nào của nấy,1
369,máy quá rẻ mua cho phụ huynh sử dụng tốt tiki giao hàng nhanh cơ mà vừa mua lúc sáng thì chiều giảm giá thêm lít,1
378,màn hình bự thích hợp coi phim chip snap ram tàm tạm chỉ thích hợp lướt facebOk và xem youtube pin tốt xài ngày,1
383,màn hình hơi tối máy ảnh chụp ảnh không được nét màu sắc không tươi nhân viên giao hàng thân thiện nhiệt tình,1
385,giao hàng nhanh tuy nhiên tiki nên bọc lớp chống sốc thay vì để mấy tờ giấy như thế này,1
387,thế hệ trước thấy khó sử dụng hơn samsung rất nhiều nên thay ký hiệu tick check v thành chữ lưu ok rõ ràng rành mạch,0
392,em nhận được hàng rồi ạ hàng giao nhanh sản phẩm đẹp chất lượng sẽ ủng hộ cửa hàng lâu dài,1
394,máy mới nguyên seal dùng ổn định không lỗi gì cảm ơn tiki,1
395,điện thoại vừa mua về mở máy kích hoạt nhưng máy mở không lên cần hộ trợ gấp,-1
396,tiki giao hàng đúng với thời gian đóng gói cẩn thận nguyên seal vsmart rất đẹp so với tầm giá sẽ ủng hộ tiki tiếp v,1
409,sảm phảm tốt đóng gói cẩn thận hàng chính hãng dùng mấy tháng rồi chưa có vấn đề gì,1
410,tệ máy dùng giật chậm liên tục tóm lại là chưa mua thì chưa biết mua rồi thấy ngu như bò,-1
413,hàng đc bao bọc cẩn thận giao hàng nhanh đth pin tốt chụp hình đẹp không bị lag hàng vn chất luong cao,1
418,sản phẩm quá giật và lag mua xong hối hận luôn trong khi mình chỉ dùng duy nhất nghe gọi và cài thêm zalo,-1
422,máy tôi đang bị trục trặc không hiểu lý do tại sao máy mới mua hiện tại bật không lên,-1
425,mình đặt giúp cho người quen thôi nhưng thấy người dùng chia sẻ lại là dùng khá ok,1
429,đóng gói cẩn thận đầy đủ linh kiện cảm ứng mượt sóng sánh ổn chưa có gì để chê,1
430,cửa hàng cực kì uy tín mới đặt hôm trc hôm sau nhận được luôn hàng nguyên siL dùng tốt,1
436,giao hàng lâu hủy đơn hàng để tạo đơn hàng mới bị tốn phí giao hàng nhanh,-1
437,máy ảnh độ phân giải không cao hình ảnh mờ nhạt như người chết trôi vậy không hài lòng,0
443,máy sài tốt nhưng sạc rất nóng máy không biết máy mình mua bị lỗi hay là do dòng máy nó bị vậy,1
445,điện thoại tệ tôi dùng được thời gian là rất lag tôi muốn được hoàn trả,-1
446,điện thoại dùng mới chưa đươcj một tháng mà đã lác nhiêu khi đơ mất mấy phút,-1
456,tôi chưa nhận được hoá đơn vat xin hướng dẫn để xuất hoá đơn cho cty,1
457,có gì mà phải nói lại cho mínhNsnsbsb hahahahshsHshs,1
463,rất hài lòng giao hàng nhanh chất lượng tốt,1
464,uy tín đóng gói kĩ càng yên tâm về hàng khi mua vì mình có check kĩ rồi và thấy hoàn toàn ổn,1
466,đóng gói hàng điện tử mà không có chống sốc mà lót bằng giấy bìa,0
467,giao nhanh hàng nguyên seal,1
468,sản phẩm mjh mua đc ngày giờ nhận được có một sim không bình thường lm thế nào nhận sim lại nữa tiki chỉ với,1
469,giao hàng chậm quá từ lúc đặt hàng đến lúc nhận hàng gần ngày,0
472,máy hay bị đơ kết nối mạng rất kém loa bé thật sự thất vọng về sản phẩm,0
473,máy nguyên seal dùng rất mượt chơi trò chơi ổn chụp ảnh đẹp,1
474,treo máy đứng máy dung lượng ram không đủ để lướt facebOk zalo,-1
475,máy chậm kinh khủng anh em suy nghĩ trước khi mua cái này nói thật lòng,-1
478,sản phẩm tốt trong tầm giá nếu ai cần các ứng dụng nặng thì không nên mua,1
483,điện thoại đẹp cứng cáp tốt trong tầm giá những ứng dụng cơ bản khá mượt,1
487,máy mình hôm đầu sài bình thường qua hôm sau bịi loạn cảm ứng bây giờ phải làm sao cửa hàng ơi,1
492,sản phẩm chất lượng tốt phù hợp cho ai dùng máy phụ hoặc mới bắt đầu dùng smartphone,1
495,mọi thứ đều ổn nhưng bắt mạng yếu cực kì luôn khá chán ạ,0
501,rất là lag ko vào đc gOgle hay vào đc bất kỳ ứng dụng nào,-1
507,xài ok không lỗi thương hiệu việt chất lượng tốt giá hợp lý,1
514,cực kì hài lòng sản phẩm rất tuyệt vời sẽ tiếp tục ủng hộ cửa hàng,1
525,hàng dùng tốt trong tầm giá người việt ưu tiên dùng hàng việt,1
526,máy đơ chậm lag xử lý tác vụ cơ bản hay đơ thất vọng vinsmart,-1
534,thất vọng với hàng giá rẻ việt nam thua xa xiaomi cùng giá,-1
538,dùng hay bị đơ máy bắt sóng rất kém luôn ae mua hàng lên cân nhắc,0
540,máy dùng không tốt chậm chậm hoài không biết bên tiki sẽ hỗ trợ như thế nào ạ,-1
552,thiếu khay để sim thì sao mà dùng được,-1
554,nên mua nhé nguyên seal dùng thích cực,1
561,tầm giá rất tốt,1
568,xuống máy nhanh nên để thêm tiền mua máy dòng cao hơn,-1
572,dất là không hài lòng nói trung là không thích máy hay bị nang,-1
578,sản phẩm tốt ủng hộ hàng vn,1
579,điện thoại bị hư giờ đổi hàng được không cửa hàng,-1
586,tiki giao sản phẩm bị hở nắp lưng yêu cầu được đổi trả,-1
587,giao hàng nhanh nguyên tem nhà sản xuất chất lượng thì chưa biết,0
